voter_id,agent_type,loyalty,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6,pref_7,pref_8,pref_9,pref_10,pref_11,pref_12,initial_vote
0,strategic,0.0,Jadot,Zemmour,Lassalle,Poutou,Arthaud,Macron,Dupont-Aignan,Melenchon,Hidalgo,Roussel,Pecresse,Le Pen,Jadot
1,strategic,0.0,Dupont-Aignan,Roussel,Macron,Pecresse,Poutou,Melenchon,Hidalgo,Jadot,Le Pen,Arthaud,Zemmour,Lassalle,Dupont-Aignan
2,mixed,0.578,Hidalgo,Dupont-Aignan,Le Pen,Lassalle,Zemmour,Poutou,Arthaud,Melenchon,Pecresse,Jadot,Roussel,Macron,Hidalgo
3,mixed,0.819,Arthaud,Roussel,Poutou,Hidalgo,Pecresse,Macron,Lassalle,Le Pen,Zemmour,Dupont-Aignan,Jadot,Melenchon,Arthaud
4,stubborn,1.0,Roussel,Poutou,Arthaud,Macron,Pecresse,Dupont-Aignan,Lassalle,Zemmour,Le Pen,Jadot,Hidalgo,Melenchon,Roussel
5,stubborn,1.0,Zemmour,Macron,Jadot,Poutou,Pecresse,Hidalgo,Dupont-Aignan,Arthaud,Roussel,Melenchon,Le Pen,Lassalle,Zemmour
6,strategic,0.0,Roussel,Poutou,Dupont-Aignan,Arthaud,Lassalle,Zemmour,Macron,Hidalgo,Melenchon,Le Pen,Jadot,Pecresse,Roussel
7,stubborn,1.0,Melenchon,Hidalgo,Roussel,Zemmour,Dupont-Aignan,Poutou,Jadot,Lassalle,Macron,Arthaud,Le Pen,Pecresse,Melenchon
8,stubborn,1.0,Arthaud,Le Pen,Macron,Poutou,Roussel,Hidalgo,Pecresse,Melenchon,Dupont-Aignan,Jadot,Lassalle,Zemmour,Arthaud
9,strategic,0.0,Jadot,Lassalle,Pecresse,Melenchon,Arthaud,Zemmour,Roussel,Poutou,Dupont-Aignan,Le Pen,Macron,Hidalgo,Jadot
10,strategic,0.0,Hidalgo,Zemmour,Dupont-Aignan,Macron,Pecresse,Arthaud,Melenchon,Jadot,Lassalle,Poutou,Le Pen,Roussel,Hidalgo
11,mixed,0.869,Le Pen,Jadot,Arthaud,Dupont-Aignan,Poutou,Pecresse,Lassalle,Roussel,Macron,Melenchon,Zemmour,Hidalgo,Le Pen
12,strategic,0.0,Macron,Zemmour,Pecresse,Dupont-Aignan,Poutou,Melenchon,Le Pen,Jadot,Arthaud,Hidalgo,Roussel,Lassalle,Macron
13,stubborn,1.0,Lassalle,Macron,Dupont-Aignan,Zemmour,Hidalgo,Le Pen,Jadot,Pecresse,Arthaud,Melenchon,Poutou,Roussel,Lassalle
14,mixed,0.848,Lassalle,Pecresse,Macron,Zemmour,Dupont-Aignan,Hidalgo,Le Pen,Arthaud,Poutou,Roussel,Melenchon,Jadot,Lassalle
